model,size,angle_deg,L_k,L_low,L_high,q,p,matched_bpp
jpegxl,256x256,30.0,0.0067575836211495,0.0072917670483184,0.0088256493193447,2.0,,0
jpegxl,256x256,45.0,0.007076282726449,0.0045866784958241,0.0102334898996697,2.0,,0
jpegxl,256x256,60.0,0.0064943269022263,0.0055213979996751,0.0126547677151421,2.0,,0
jpegxl,256x256,75.0,0.0066876654717722,0.0076294092997107,0.0090946218747476,2.0,,0
jpegxl,256x256,90.0,0.006771028528081,0.0046630914476005,0.0070824895808151,2.0,,0
ftic,256x256,0.0,0.0084719106418111,0.0060966187479159,0.0237209226681303,3.0,,0
ftic,256x256,15.0,0.0085080221895916,0.0064266344356011,0.012250914417079,3.0,,0
ftic,256x256,30.0,0.0078411219252367,0.0066959280645224,0.0119837989800398,3.0,,0
ftic,256x256,45.0,0.0090735759850784,0.0066157330145064,0.0309173180346002,3.0,,0
ftic,256x256,60.0,0.0083756251622941,0.0066642449768636,0.0139252316828702,3.0,,0
ftic,256x256,75.0,0.0081034183433835,0.0060145887809004,0.0118088455006492,3.0,,0
ftic,256x256,90.0,0.0083294224297914,0.0060287814460756,0.0236678693297605,3.0,,0
cheng2020-anchor,256x256,0.0,0.6665103084009307,0.1288518676012255,0.7500188569014425,3.0,,0
cheng2020-anchor,256x256,15.0,0.2316466234117767,0.2032349073626813,0.9542256341418592,3.0,,0
cheng2020-anchor,256x256,30.0,0.3548730603483735,0.2958622220686761,0.8057900789058994,3.0,,0
cheng2020-anchor,256x256,45.0,0.4387496616839469,0.1106446906222332,0.8354044620300096,3.0,,0
cheng2020-anchor,256x256,60.0,0.2311652845798232,0.2035816076334896,0.872001538793293,3.0,,0
cheng2020-anchor,256x256,75.0,0.3766668259036997,0.3950560342434605,0.4291923904477068,3.0,,0
cheng2020-anchor,256x256,90.0,0.651379884207937,0.1313670600277454,0.7330139069551702,3.0,,0
cheng2020-attn,256x256,0.0,0.5054025271944009,0.1541891342776021,0.8674708626877833,3.0,,0
cheng2020-attn,256x256,15.0,0.262208125556119,0.2326697404747001,0.924206134550792,3.0,,0
cheng2020-attn,256x256,30.0,0.4554778871527332,0.3690766228057043,0.7473316608011542,3.0,,0
cheng2020-attn,256x256,45.0,0.5615947463770179,0.1254339940413605,0.8698852272070923,3.0,,0
cheng2020-attn,256x256,60.0,0.2473412508950636,0.2056103385838107,0.9352276831542532,3.0,,0
cheng2020-attn,256x256,75.0,0.4043465911124156,0.3519719824212651,0.5925622055965893,3.0,,0
cheng2020-attn,256x256,90.0,0.5211432599540544,0.1570301013984453,0.8648763205279703,3.0,,0
bmshj2018-factorized,256x256,0.0,0.853326190758869,0.5102384272606673,0.9990299256244836,3.0,,0
bmshj2018-factorized,256x256,15.0,0.9354840467462862,0.5287666119823701,0.9873418057999506,3.0,,0
bmshj2018-factorized,256x256,30.0,0.8499508912028514,0.6072485406009914,0.9363614407720142,3.0,,0
bmshj2018-factorized,256x256,45.0,0.8697619184716259,0.5545285018931151,0.9832778059206674,3.0,,0
bmshj2018-factorized,256x256,60.0,0.9587389116816252,0.5150823436793384,0.9998620457648836,3.0,,0
bmshj2018-factorized,256x256,75.0,0.8183273697681523,0.6109054595201581,0.9996581314469511,3.0,,0
bmshj2018-factorized,256x256,90.0,0.8739982202290573,0.5107995515758476,0.99049846990996,3.0,,0
bmshj2018-hyperprior,256x256,0.0,0.5040994987184908,0.2038924223393562,0.850551982779638,3.0,,0
bmshj2018-hyperprior,256x256,15.0,0.3286687539933861,0.2854424499645422,0.9284118120132052,3.0,,0
bmshj2018-hyperprior,256x256,30.0,0.5051483326282225,0.3090981772293022,0.7893766395848458,3.0,,0
bmshj2018-hyperprior,256x256,45.0,0.5529192776652507,0.3696053486106416,0.8822336886066509,3.0,,0
bmshj2018-hyperprior,256x256,60.0,0.5332149126721566,0.2530680257497031,0.908748830298814,3.0,,0
bmshj2018-hyperprior,256x256,75.0,0.4665401693948212,0.3306143169832853,0.8691663955420749,3.0,,0
bmshj2018-hyperprior,256x256,90.0,0.5197331549365609,0.2133791973201954,0.8601300393581855,3.0,,0
mbt2018-mean,256x256,0.0,0.4349656467490762,0.195583598481038,0.8365933410328884,3.0,,0
mbt2018-mean,256x256,15.0,0.2947682177093934,0.2410654964800284,0.9052771577826202,3.0,,0
mbt2018-mean,256x256,30.0,0.4539428404432217,0.3793819113570491,0.7477561719223826,3.0,,0
mbt2018-mean,256x256,45.0,0.4742954964608514,0.2607940975513405,0.8814081011074039,3.0,,0
mbt2018-mean,256x256,60.0,0.2484579486025891,0.2132401243191353,0.8653062189970799,3.0,,0
mbt2018-mean,256x256,75.0,0.375161022089132,0.2688130216278758,0.8458212658592612,3.0,,0
mbt2018-mean,256x256,90.0,0.44120808519161,0.1998348877743212,0.8426870202120139,3.0,,0
mbt2018,256x256,0.0,0.5723980140026568,0.221535437559421,0.8373113879328189,3.0,,0
mbt2018,256x256,15.0,0.4363014069072768,0.3468250068363397,0.8555170532875338,3.0,,0
mbt2018,256x256,30.0,0.6195922836879668,0.5042889093008273,0.7201829433164473,3.0,,0
mbt2018,256x256,45.0,0.6552728580557605,0.1870473499337179,0.8896139576724393,3.0,,0
mbt2018,256x256,60.0,0.3157909810098061,0.2417980763652557,0.8474555961694995,3.0,,0
mbt2018,256x256,75.0,0.4510745447110292,0.3147019370558743,0.6659250626476989,3.0,,0
