Model,Size,p,q,bpp,L_k,L_low,L_high,ODR_k,|Delta_c_k|,s_k,H_k_bits,CE_k(w=2)
cheng2020-attn,1024x1024,,2.0,0.8017,0.5299,0.2135,0.8381,0.5106,0.0225,0.1394,0.4374,0.8289
bmshj2018-factorized,64x64,,2.0,0.2702,0.8447,0.6068,0.9898,0.9913,0.0319,0.1836,0.8739,0.6542
mbt2018-mean,1024x1024,,2.0,0.6501,0.6418,0.3959,0.9693,0.7143,0.0178,0.127,0.5747,0.6457
mbt2018-mean,512x512,,2.0,0.6408,0.6295,0.3786,0.9623,0.6909,0.0162,0.1233,0.595,0.6889
bmshj2018-factorized,512x512,,2.0,0.1835,0.9517,0.6968,1.0,1.0,0.1737,0.1861,0.9273,0.2297
bmshj2018-factorized,1024x1024,,2.0,0.1801,0.9618,0.6988,1.0,1.0,0.1904,0.1744,0.9033,0.174
mbt2018-mean,64x64,,2.0,0.8122,0.5997,0.3599,0.8912,0.6348,0.0166,0.1212,0.6562,0.8354
ftic,256x256,,2.0,0.7961,0.0125,0.0106,0.02,0.0063,0.0022,0.0442,0.0311,0.9887
webp,1024x1024,,2.0,2.8304,0.0085,0.0065,0.0089,0.0043,0.0019,0.0455,0.0209,0.9916
cheng2020-attn,512x512,,2.0,0.775,0.5237,0.212,0.8362,0.5004,0.0218,0.1375,0.4675,0.8336
mbt2018,128x128,,2.0,0.8786,0.5245,0.2667,0.8321,0.5017,0.0114,0.1229,0.5508,0.8353
mbt2018-mean,128x128,,2.0,0.7166,0.5916,0.333,0.9379,0.6195,0.0137,0.1106,0.6042,0.7943
bmshj2018-hyperprior,64x64,,2.0,1.1677,0.6177,0.3404,0.8969,0.6685,0.0165,0.1303,0.6171,0.8913
bmshj2018-hyperprior,128x128,,2.0,0.9838,0.605,0.3307,0.9148,0.6445,0.0136,0.122,0.567,0.8486
jpegxl,1024x1024,,2.0,1.0169,0.0047,0.0029,0.0056,0.0024,0.0005,0.0247,0.0119,0.9955
ftic,1024x1024,,2.0,1.3643,0.0119,0.0099,0.0434,0.006,0.0018,0.043,0.0269,0.9887
webp,256x256,,2.0,2.8894,0.0086,0.0062,0.0091,0.0044,0.0019,0.0457,0.0236,0.9916
